row_id,title,pipeline,action,classification,confidence,reason,old_relative_path,new_relative_path,size_bytes,sha256_before,sha256_after,checksum_match
paper-2026-05,Network Origin-Demand Estimation Using Percolation (NODE),UPLOADED,moved,code,medium,code directory hint; subtree preserved,examples/toy_network_demo.py,code/legacy/examples/toy_network_demo.py,1483,b144be6f253b60c622affeb5932306053c9e09af6d1e2182d2b0ae4dc9a219c3,b144be6f253b60c622affeb5932306053c9e09af6d1e2182d2b0ae4dc9a219c3,yes
paper-2026-05,Network Origin-Demand Estimation Using Percolation (NODE),UPLOADED,moved,data,low,extensionless/unclassified legacy payload,LICENSE,data/LICENSE,20138,28a9529c7d0bb4dc51f4bf5c116a3d16ef247a052f7591466768ddf563fd1cf5,28a9529c7d0bb4dc51f4bf5c116a3d16ef247a052f7591466768ddf563fd1cf5,yes
paper-2026-05,Network Origin-Demand Estimation Using Percolation (NODE),UPLOADED,moved,code,medium,code directory hint; subtree preserved,source/si.tex,code/legacy/source/si.tex,14520,962cc42d957d116b101a674eaa054ce512bfcd4721a850942ee3dc8ae7dc20d8,962cc42d957d116b101a674eaa054ce512bfcd4721a850942ee3dc8ae7dc20d8,yes
